"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @NetflixFilm: A new Adam McKay comedy starring Jennifer Lawrence? It's happening.

In DON'T LOOK UP, an asteroid is approaching Earth an<U+2026>",FALSE,0,NA,2020-02-19 18:08:10,FALSE,NA,"1230192363743563776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","netflix",43,TRUE,FALSE,NA,NA
"RT @contodonetflix: SO excited to announce Brown Love, a new podcast hosted by the incredible @SheisDash. Each week, Dascha will talk to La<U+2026>",FALSE,0,NA,2020-02-19 15:03:39,FALSE,NA,"1230145930449436672",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","netflix",241,TRUE,FALSE,NA,NA
"RT @seewhatsnext: check out everything coming to Netflix US in March: https://t.co/hYQPjIMxBZ",FALSE,0,NA,2020-02-19 15:01:49,FALSE,NA,"1230145468388134912",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","netflix",336,TRUE,FALSE,NA,NA
"@Refinery29 @RossButler @noahcent https://t.co/e6KSkqd29V",FALSE,15,"Refinery29",2020-02-19 03:44:06,FALSE,"1229925324504338433","1229974917665447936","19546942","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","netflix",0,FALSE,FALSE,NA,NA
"RT @thisjenlewis: I drew this for my beloved @netflix's Instagram and it took me an extra long time because I kept accidentally hypnotizing<U+2026>",FALSE,0,NA,2020-02-18 21:49:36,FALSE,NA,"1229885704471183363",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","netflix",445,TRUE,FALSE,NA,NA
"RT @NetflixFilm: If you enjoyed Song Kang-ho<U+2019>s performance as the Kim family patriarch in PARASITE, you can check him out as an infamous '7<U+2026>",FALSE,0,NA,2020-02-18 21:16:08,FALSE,NA,"1229877281994223616",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","netflix",112,TRUE,FALSE,NA,NA
"don't know who needs to see this, but: https://t.co/Cg6DJbiHEb",FALSE,7053,NA,2020-02-18 18:09:55,FALSE,NA,"1229830416930091009",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","netflix",426,FALSE,FALSE,NA,NA
"RT @amandaapleaseex: If anyone needs a new show to binge on Netflix, watch <U+201C>The Stranger.<U+201D>  So intense. https://t.co/XFNcDqmr8J",FALSE,0,NA,2020-02-18 17:59:21,FALSE,NA,"1229827758177558535",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","netflix",45,TRUE,FALSE,NA,NA
"RT @NetflixIsAJoke: One day                                 48 days      
into 2020                               into 2020 https://t.co/HR<U+2026>",FALSE,0,NA,2020-02-18 17:43:12,FALSE,NA,"1229823692756090882",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","netflix",2655,TRUE,FALSE,NA,NA
"RT @WHlMSlCALWONDER: Ok this new Netflix show Love is Blind is a WILD CONCEPT https://t.co/dYq1xG9ac2",FALSE,0,NA,2020-02-18 17:32:09,FALSE,NA,"1229820912863764485",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","netflix",134,TRUE,FALSE,NA,NA
"RT @Brandonp_16: Me: Love is Blind sounds like a stupid show

...watches the first episode

Also Me: If Cameron and Lauren don<U+2019>t stay toget<U+2026>",FALSE,0,NA,2020-02-18 17:30:55,FALSE,NA,"1229820603055661057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","netflix",707,TRUE,FALSE,NA,NA
"RT @shadypalmytree: #LoveIsBlind #loveisblindnetflix 

Jessica: I want to connect with other people.
Mark: <U+0001F625> ok...
Barnett: I want to conne<U+2026>",FALSE,0,NA,2020-02-18 17:29:27,FALSE,NA,"1229820236087599115",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","netflix",214,TRUE,FALSE,NA,NA
"RT @yasmin86: Is Rory a contestant or the house therapist #LoveIsBlind https://t.co/Nr1IXazZ4r",FALSE,0,NA,2020-02-18 17:28:52,FALSE,NA,"1229820086632042496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","netflix",150,TRUE,FALSE,NA,NA
"RT @Kurenai240: #LoveIsBlind
#loveisblindnetflix

Lauren: I don't think I've ever met someone from the state of Maine before.

Cameron: I'm<U+2026>",FALSE,0,NA,2020-02-18 17:28:28,FALSE,NA,"1229819986203627521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","netflix",153,TRUE,FALSE,NA,NA
"@VonalinaCake @LisaKudrow absolutely yes",FALSE,10,"VonalinaCake",2020-02-18 16:54:08,FALSE,"1229811241755009024","1229811346067410947","14811886","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","netflix",0,FALSE,FALSE,NA,NA
"RT @contodonetflix: I know you've all been waiting very ~patiently~ for this update: #OnMyBlock returns 3.11 <U+0001F64C><U+0001F3FE> https://t.co/WofDb1FUMR",FALSE,0,NA,2020-02-18 16:05:26,FALSE,NA,"1229799089308610561",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","netflix",1020,TRUE,FALSE,NA,NA
"RT @seewhatsnext: #OnMyBlock Season 3 premieres March 11 <U+2014> FIRST LOOK: https://t.co/ijKn7N3Aq0",FALSE,0,NA,2020-02-18 16:04:25,FALSE,NA,"1229798835020615683",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","netflix",10651,TRUE,FALSE,NA,NA
"Mae Martin created and stars in Feel Good, a semi-autobiographical exploration of love, addiction, and sexuality th<U+2026> https://t.co/4Ef84j09Xt",FALSE,2689,NA,2020-02-18 15:30:00,TRUE,NA,"1229790172650192896",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","netflix",327,FALSE,FALSE,NA,NA
"Chris Hemsworth plays a fearless black market mercenary who embarks on the most deadly mission of his career.

Get<U+2026> https://t.co/JBS75wsiLU",FALSE,2263,NA,2020-02-18 15:00:11,TRUE,NA,"1229782669594107904",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","netflix",243,FALSE,FALSE,NA,NA
"@debra6179 that's too bad, you're missing out on an amazing show",FALSE,43,"debra6179",2020-02-18 14:43:58,FALSE,"1229769297049903110","1229778589773651969","1050806638913957893","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","netflix",0,FALSE,FALSE,NA,NA
"The kids are coming...

Elite Season 3 premieres March 13 https://t.co/aFJvcXZcHi",FALSE,21379,NA,2020-02-18 14:00:31,FALSE,NA,"1229767654862401536",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","netflix",5633,FALSE,FALSE,NA,NA
"RT @EvaLongoria: Streaming NOW on Netflix! So proud to have directed this show with @mariolopez @jencarlosmusic @paulinafchavez 

Thanks fo<U+2026>",FALSE,0,NA,2020-02-18 12:19:51,FALSE,NA,"1229742321790484480",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","netflix",67,TRUE,FALSE,NA,NA
"congratulations to The Cheesecake Factory for being named the fanciest restaurant in the world by renowned food cri<U+2026> https://t.co/LgcUwYeLw3",FALSE,5133,NA,2020-02-17 23:53:55,TRUE,NA,"1229554601294225410",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","netflix",418,FALSE,FALSE,NA,NA
"RT @saratcha10: Locke and Key on @netflix has to be one of the most confusing and fascinating show I<U+2019>ve seen in a long time! I<U+2019>m so hooked<U+2026>",FALSE,0,NA,2020-02-17 23:29:22,FALSE,NA,"1229548420660105216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","netflix",74,TRUE,FALSE,NA,NA
"RT @misfitkywy: Locke and Key on Netflix is SO GOOD, if you get a chance to watch it... please do",FALSE,0,NA,2020-02-17 23:28:39,FALSE,NA,"1229548240502247425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","netflix",226,TRUE,FALSE,NA,NA
"RT @kayschimmy: It<U+2019>s 5:30am and I<U+2019>ve spent the whole night binge watching Locke and key on Netflix. I cannot believe the ending I<U+2019>m literal<U+2026>",FALSE,0,NA,2020-02-17 23:28:02,FALSE,NA,"1229548085149360128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","netflix",33,TRUE,FALSE,NA,NA
"@WalmartWorld obsessed! @Jerry_K2TR &amp; Heather would be the ultimate dream team",FALSE,14,"WalmartWorld",2020-02-17 23:14:50,FALSE,"1229501612441440258","1229544767115186177","93634334","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","netflix",2,FALSE,FALSE,NA,NA
"RT @strongblacklead: Man....@Rahne_Jones is truly something special. Her audition story for her role in #ThePolitician will absolutely moti<U+2026>",FALSE,0,NA,2020-02-17 22:20:46,FALSE,NA,"1229531157802504192",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","netflix",101,TRUE,FALSE,NA,NA
"RT @NetflixQueue: Making Mat and more with @netflix CHEER star Jerry Harris. In our first Queue &amp; A, we talk Jerry<U+2019>s go to karaoke song (@r<U+2026>",FALSE,0,NA,2020-02-17 17:32:20,FALSE,NA,"1229458573748404224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","netflix",394,TRUE,FALSE,NA,NA
"RT @MidnightsDarlin: I am Not Okay With This trailer finally dropped and I<U+2019>m so obsessed already. #iamnotokaywiththis https://t.co/WCaCB11u<U+2026>",FALSE,0,NA,2020-02-17 16:37:33,FALSE,NA,"1229444784936194050",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","netflix",254,TRUE,FALSE,NA,NA
"RT @sloppyhaders: LET'S GO #IANOWT NATION https://t.co/uIFwCBhF5N",FALSE,0,NA,2020-02-17 16:37:19,FALSE,NA,"1229444726912192520",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","netflix",390,TRUE,FALSE,NA,NA
"It<U+2019>s like if John Hughes made a superhero movie. 

I Am Not Okay With This premieres February 26 https://t.co/39nM87rJic",FALSE,44522,NA,2020-02-17 15:03:39,FALSE,NA,"1229421153636085765",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","netflix",7565,FALSE,FALSE,NA,NA
"Lana Condor, Noah Centineo, Jordan Fisher &amp; Jenny Han gave some To All The Boys superfans the surprise of their liv<U+2026> https://t.co/dvZupb6GAr",FALSE,3611,NA,2020-02-16 19:32:35,TRUE,NA,"1229126446733393920",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","netflix",358,FALSE,FALSE,NA,NA
"RT @CHAI_TEA2702: Everytime I hear the narcos theme song 

#narcos #narcosm<U+00E9>xico https://t.co/XkHc8FORyV",FALSE,0,NA,2020-02-15 18:48:55,FALSE,NA,"1228753068172271616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","netflix",55,TRUE,FALSE,NA,NA
"RT @claisweird: Me during the theme song of #NarcosMexico @NarcosNetflix
I'm so glad it's back! https://t.co/ZsAzOCRUeg",FALSE,0,NA,2020-02-15 18:48:27,FALSE,NA,"1228752950488530945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","netflix",12,TRUE,FALSE,NA,NA
"RT @IceCreamTony: Narcos Mexico opening credits got me like #NarcosMexico #NarcosMexico2 https://t.co/oCrV68caKm",FALSE,0,NA,2020-02-15 18:46:55,FALSE,NA,"1228752565753401344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","netflix",1223,TRUE,FALSE,NA,NA
"RT @Icbarrios11: No one

Absolutely no one

Me:
#NarcosMexico #Netflix #Season2 https://t.co/o5efUD5RmU",FALSE,0,NA,2020-02-15 18:46:37,FALSE,NA,"1228752491044466688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","netflix",1050,TRUE,FALSE,NA,NA
